road,date,forecast,lower_95,upper_95
Окт,2026-01-01,175.296570205731,140.58621940264845,210.00692100881355
Окт,2026-02-01,158.73103833408157,124.02068753099903,193.44138913716412
Окт,2026-03-01,164.06112727018768,129.35077646710513,198.77147807327023
Окт,2026-04-01,190.7997519847668,156.08940118168425,225.51010278784935
Окт,2026-05-01,176.19739812733675,141.4870473242542,210.9077489304193
Окт,2026-06-01,165.33258121979932,130.62223041671677,200.04293202288187
Окт,2026-07-01,172.75299166396013,138.04264086087758,207.46334246704268
Окт,2026-08-01,172.46593046173385,137.7555796586513,207.1762812648164
Окт,2026-09-01,161.74635627440585,127.0360054713233,196.4567070774884
Окт,2026-10-01,155.53326467108468,120.82291386800213,190.24361547416723
Окт,2026-11-01,163.9596356937391,129.24928489065655,198.66998649682165
Окт,2026-12-01,157.47183302997783,122.76148222689528,192.18218383306038
Клнг,2026-01-01,21.15901486855124,16.27869046538428,26.039339271718198
Клнг,2026-02-01,22.374932236495713,17.494607833328757,27.25525663966267
Клнг,2026-03-01,24.252181588695223,19.371857185528263,29.132505991862182
Клнг,2026-04-01,29.47531339942146,24.5949889962545,34.35563780258842
Клнг,2026-05-01,24.19429858385089,19.313974180683935,29.074622987017847
Клнг,2026-06-01,23.38177739411034,18.501452990943385,28.262101797277296
Клнг,2026-07-01,20.376764870865756,15.496440467698799,25.257089274032715
Клнг,2026-08-01,17.29871299098778,12.418388587820823,22.17903739415474
Клнг,2026-09-01,17.500085183567666,12.619760780400709,22.380409586734622
Клнг,2026-10-01,15.684196923852102,10.803872520685145,20.564521327019058
Клнг,2026-11-01,16.937201192813447,12.05687678964649,21.817525595980406
Клнг,2026-12-01,18.388624502307653,13.508300099140696,23.26894890547461
Моск,2026-01-01,144.51495383375305,97.91325985117837,191.11664781632774
Моск,2026-02-01,168.19888490719723,121.59719092462254,214.8005788897719
Моск,2026-03-01,166.22891306383258,119.62721908125789,212.83060704640727
Моск,2026-04-01,211.7060619774999,165.1043679949252,258.3077559600746
Моск,2026-05-01,193.81843237363393,147.21673839105924,240.4201263562086
Моск,2026-06-01,181.6328825449596,135.03118856238493,228.2345765275343
Моск,2026-07-01,157.01784861455386,110.41615463197917,203.61954259712854
Моск,2026-08-01,151.9584839065529,105.35678992397823,198.5601778891276
Моск,2026-09-01,136.32357439553644,89.72188041296175,182.92526837811113
Моск,2026-10-01,186.03293690758576,139.43124292501108,232.63463089016045
Моск,2026-11-01,125.90351286510567,79.30181888253097,172.50520684768037
Моск,2026-12-01,118.45391461862795,71.85222063605326,165.05560860120264
Горьк,2026-01-01,129.8800819700532,107.16186378025553,152.59830015985088
Горьк,2026-02-01,117.80988966180585,95.09167147200819,140.52810785160352
Горьк,2026-03-01,135.37012872749904,112.65191053770137,158.08834691729672
Горьк,2026-04-01,124.0145522561725,101.29633406637483,146.73277044597017
Горьк,2026-05-01,118.25373937622797,95.5355211864303,140.97195756602565
Горьк,2026-06-01,125.84891597103066,103.130697781233,148.56713416082835
Горьк,2026-07-01,118.68596506603306,95.9677468762354,141.40418325583073
Горьк,2026-08-01,121.09252848998793,98.37431030019026,143.8107466797856
Горьк,2026-09-01,131.3250043249542,108.60678613515653,154.04322251475187
Горьк,2026-10-01,107.8845809181378,85.16636272834013,130.60279910793548
Горьк,2026-11-01,110.83958045697887,88.1213622671812,133.55779864677655
Горьк,2026-12-01,120.48929193042412,97.77107374062645,143.2075101202218
Сев,2026-01-01,171.6924957711674,132.23468410565414,211.15030743668063
Сев,2026-02-01,181.25244287853835,141.7946312130251,220.7102545440516
Сев,2026-03-01,195.92563020166062,156.46781853614738,235.38344186717387
Сев,2026-04-01,204.7464714651863,165.28865979967304,244.20428313069954
Сев,2026-05-01,216.59795844295817,177.14014677744493,256.0557701084714
Сев,2026-06-01,200.73097894982757,161.27316728431433,240.18879061534082
Сев,2026-07-01,183.6282247195462,144.17041305403296,223.08603638505946
Сев,2026-08-01,161.3589824912786,121.90117082576535,200.81679415679184
Сев,2026-09-01,166.11160025500772,126.65378858949447,205.56941192052096
Сев,2026-10-01,166.4413341581322,126.98352249261896,205.89914582364545
Сев,2026-11-01,177.59803457196182,138.14022290644857,217.05584623747507
Сев,2026-12-01,177.86931438073154,138.4115027152183,217.32712604624479
С-Кав,2026-01-01,87.65835456127509,69.8083651227251,105.50834399982507
С-Кав,2026-02-01,105.62907907027149,87.7790896317215,123.47906850882147
С-Кав,2026-03-01,108.21914612657518,90.3691566880252,126.06913556512517
С-Кав,2026-04-01,106.53309167333494,88.68310223478495,124.38308111188492
С-Кав,2026-05-01,101.21667387360519,83.3666844350552,119.06666331215517
С-Кав,2026-06-01,97.74241552816427,79.89242608961429,115.59240496671426
С-Кав,2026-07-01,90.15714256329171,72.30715312474173,108.0071320018417
С-Кав,2026-08-01,86.64225503294004,68.79226559439006,104.49224447149003
С-Кав,2026-09-01,83.69007419534209,65.84008475679211,101.54006363389207
С-Кав,2026-10-01,70.87875916161775,53.02876972306777,88.72874860016773
С-Кав,2026-11-01,84.75808403426186,66.90809459571187,102.60807347281184
С-Кав,2026-12-01,72.55578352342337,54.70579408487339,90.40577296197335
Ю-Вост,2026-01-01,70.09133909030841,62.385483871586025,77.79719430903079
Ю-Вост,2026-02-01,74.32832957945794,66.62247436073557,82.03418479818032
Ю-Вост,2026-03-01,73.73044275973749,66.02458754101511,81.43629797845986
Ю-Вост,2026-04-01,71.20970505971819,63.503849840995805,78.91556027844057
Ю-Вост,2026-05-01,74.28160213409274,66.57574691537036,81.98745735281511
Ю-Вост,2026-06-01,73.84713688226579,66.14128166354341,81.55299210098816
Ю-Вост,2026-07-01,74.87741465056831,67.17155943184594,82.58326986929069
Ю-Вост,2026-08-01,63.586050871084055,55.88019565236167,71.29190608980643
Ю-Вост,2026-09-01,67.9239319351402,60.21807671641782,75.62978715386258
Ю-Вост,2026-10-01,64.87998348508034,57.17412826635796,72.58583870380272
Ю-Вост,2026-11-01,58.45365678563656,50.74780156691418,66.15951200435894
Ю-Вост,2026-12-01,64.83582666147979,57.1299714427574,72.54168188020216
Прив,2026-01-01,566.2101464977467,493.35559133637764,639.0647016591157
Прив,2026-02-01,571.8650184798552,499.01046331848613,644.7195736412242
Прив,2026-03-01,585.1556166414721,512.301061480103,658.0101718028411
Прив,2026-04-01,640.8734299128594,568.0188747514903,713.7279850742284
Прив,2026-05-01,561.2734099830642,488.41885482169516,634.1279651444332
Прив,2026-06-01,575.7760290813981,502.92147392002903,648.6305842427671
Прив,2026-07-01,528.9408254048953,456.0862702435263,601.7953805662644
Прив,2026-08-01,556.9196372199481,484.06508205857904,629.7741923813171
Прив,2026-09-01,522.1128268058035,449.25827164443444,594.9673819671725
Прив,2026-10-01,513.4878856535397,440.63333049217067,586.3424408149087
Прив,2026-11-01,559.4386598250505,486.5841046636815,632.2932149864196
Прив,2026-12-01,537.2898008341064,464.4352456727373,610.1443559954754
Кбш,2026-01-01,157.51203937019798,126.28813089757482,188.73594784282113
Кбш,2026-02-01,176.9641800505059,145.74027157788274,208.18808852312904
Кбш,2026-03-01,183.87049401684234,152.6465855442192,215.0944024894655
Кбш,2026-04-01,188.80573404616584,157.5818255735427,220.029642518789
Кбш,2026-05-01,184.85459478611727,153.63068631349412,216.07850325874043
Кбш,2026-06-01,187.5309927113028,156.30708423867964,218.75490118392594
Кбш,2026-07-01,164.38516106687848,133.16125259425533,195.60906953950163
Кбш,2026-08-01,166.6307890761391,135.40688060351596,197.85469754876226
Кбш,2026-09-01,138.5501363592851,107.32622788666193,169.77404483190824
Кбш,2026-10-01,154.22745737718145,123.00354890455829,185.4513658498046
Кбш,2026-11-01,149.2084277553278,117.98451928270462,180.43233622795094
Кбш,2026-12-01,161.86597460612853,130.64206613350538,193.08988307875168
Сверд,2026-01-01,200.87054873091287,168.82407726632093,232.91702019550482
Сверд,2026-02-01,210.58320813078163,178.53673666618968,242.62967959537357
Сверд,2026-03-01,224.42773013811632,192.38125867352437,256.47420160270826
Сверд,2026-04-01,211.46820909616952,179.42173763157757,243.51468056076146
Сверд,2026-05-01,206.83363064900837,174.78715918441642,238.88010211360032
Сверд,2026-06-01,200.74126812048357,168.69479665589162,232.7877395850755
Сверд,2026-07-01,194.18232976053383,162.1358582959419,226.22880122512578
Сверд,2026-08-01,181.46314134339005,149.4166698787981,213.509612807982
Сверд,2026-09-01,179.7549640440618,147.70849257946986,211.80143550865375
Сверд,2026-10-01,178.33023803026393,146.28376656567198,210.37670949485587
Сверд,2026-11-01,186.72943191629986,154.6829604517079,218.7759033808918
Сверд,2026-12-01,182.1219453954933,150.07547393090135,214.16841686008524
Ю-Ур,2026-01-01,208.0442992350757,181.15369009192807,234.93490837822333
Ю-Ур,2026-02-01,203.00939445933355,176.1187853161859,229.9000036024812
Ю-Ур,2026-03-01,215.27272061827267,188.38211147512504,242.1633297614203
Ю-Ур,2026-04-01,208.12727887125888,181.23666972811122,235.01788801440654
Ю-Ур,2026-05-01,219.65600315066752,192.7653940075199,246.54661229381514
Ю-Ур,2026-06-01,224.3573344874115,197.46672534426386,251.24794363055912
Ю-Ур,2026-07-01,205.96190365840013,179.07129451525248,232.8525128015478
Ю-Ур,2026-08-01,195.7375682944483,168.84695915130067,222.62817743759592
Ю-Ур,2026-09-01,196.40112221788434,169.5105130747367,223.29173136103196
Ю-Ур,2026-10-01,193.52176995044533,166.6311608072977,220.41237909359296
Ю-Ур,2026-11-01,186.39967000418855,159.5090608610409,213.2902791473362
Ю-Ур,2026-12-01,195.5846371479436,168.69402800479594,222.47524629109125
З-Сиб,2026-01-01,132.67562344641587,109.89866464416612,155.45258224866564
З-Сиб,2026-02-01,139.3140383031933,116.53707950094356,162.09099710544308
З-Сиб,2026-03-01,142.31100825954815,119.5340494572984,165.08796706179788
З-Сиб,2026-04-01,159.6418522320508,136.86489342980104,182.41881103430057
З-Сиб,2026-05-01,146.2038087769619,123.42684997471214,168.98076757921166
З-Сиб,2026-06-01,127.61138935080004,104.83443054855029,150.38834815304978
З-Сиб,2026-07-01,134.077985073779,111.30102627152924,156.85494387602876
З-Сиб,2026-08-01,125.85912904139508,103.08217023914533,148.63608784364482
З-Сиб,2026-09-01,127.63088505371141,104.85392625146166,150.40784385596118
З-Сиб,2026-10-01,129.8252413957739,107.04828259352415,152.60220019802364
З-Сиб,2026-11-01,125.43867298544669,102.66171418319693,148.21563178769645
З-Сиб,2026-12-01,125.56149501038091,102.78453620813116,148.33845381263066
Крас,2026-01-01,169.50696118202796,147.4551665080895,191.55875585596644
Крас,2026-02-01,175.24832350914113,153.19652883520266,197.3001181830796
Крас,2026-03-01,194.09944160769925,172.04764693376077,216.15123628163772
Крас,2026-04-01,173.87982153188048,151.828026857942,195.93161620581895
Крас,2026-05-01,176.21782278151844,154.16602810757996,198.2696174554569
Крас,2026-06-01,174.0551670104144,152.00337233647593,196.10696168435288
Крас,2026-07-01,170.80332070585737,148.7515260319189,192.85511537979585
Крас,2026-08-01,159.10348456456344,137.05168989062497,181.15527923850192
Крас,2026-09-01,171.9771271337156,149.92533245977714,194.0289218076541
Крас,2026-10-01,154.5846896907002,132.53289501676173,176.63648436463868
Крас,2026-11-01,161.0029811760454,138.95118650210694,183.05477584998388
Крас,2026-12-01,166.7335290325747,144.68173435863622,188.78532370651317
В-Сиб,2026-01-01,236.2409933221711,204.73999840250195,267.74198824184026
В-Сиб,2026-02-01,238.57736256642124,207.0763676467521,270.0783574860904
В-Сиб,2026-03-01,264.49689800044223,232.99590308077308,295.9978929201114
В-Сиб,2026-04-01,218.77597753525973,187.27498261559057,250.27697245492888
В-Сиб,2026-05-01,269.28661186539495,237.7856169457258,300.7876067850641
В-Сиб,2026-06-01,237.5892838299512,206.08828891028205,269.0902787496204
В-Сиб,2026-07-01,246.49057509174378,214.98958017207462,277.99157001141293
В-Сиб,2026-08-01,227.81881648125392,196.31782156158476,259.3198114009231
В-Сиб,2026-09-01,225.31957686383183,193.81858194416267,256.820571783501
В-Сиб,2026-10-01,221.51606021222486,190.0150652925557,253.017055131894
В-Сиб,2026-11-01,229.9937098994045,198.49271497973535,261.49470481907366
В-Сиб,2026-12-01,242.61988865151469,211.11889373184553,274.12088357118387
Заб,2026-01-01,473.07295936518,378.58325496445593,567.5626637659041
Заб,2026-02-01,600.0886349722737,505.59893057154966,694.5783393729977
Заб,2026-03-01,527.4128318945941,432.9231274938701,621.9025362953181
Заб,2026-04-01,578.4813443533079,483.9916399525839,672.9710487540319
Заб,2026-05-01,557.0211443801144,462.53143997939037,651.5108487808384
Заб,2026-06-01,547.7864602569831,453.2967558562591,642.2761646577071
Заб,2026-07-01,523.9544611433312,429.46475674260716,618.4441655440552
Заб,2026-08-01,508.4778456427723,413.9881412420483,602.9675500434963
Заб,2026-09-01,485.3588360767477,390.8691316760237,579.8485404774717
Заб,2026-10-01,514.0091899240185,419.5194855232945,608.4988943247425
Заб,2026-11-01,420.14615554521686,325.65645114449285,514.6358599459409
Заб,2026-12-01,513.346344055078,418.856639654354,607.836048455802
Двост,2026-01-01,493.2519235676457,392.5212654033803,593.9825817319111
Двост,2026-02-01,523.5205214110479,422.7898632467825,624.2511795753132
Двост,2026-03-01,535.7253264979403,434.9946683336749,636.4559846622057
Двост,2026-04-01,548.4485017540344,447.717843589769,649.1791599182998
Двост,2026-05-01,528.5995965272378,427.8689383629725,629.3302546915032
Двост,2026-06-01,495.04271972709273,394.31206156282735,595.7733778913581
Двост,2026-07-01,503.73621709856735,403.00555893430203,604.4668752628327
Двост,2026-08-01,500.8289012009555,400.0982430366902,601.5595593652208
Двост,2026-09-01,502.60127939160776,401.87062122734244,603.3319375558731
Двост,2026-10-01,459.0502953351424,358.31963717087706,559.7809534994077
Двост,2026-11-01,472.25455106289155,371.5238928986262,572.9852092271569
Двост,2026-12-01,458.56571491257694,357.83505674831156,559.2963730768423
Сеть,2026-01-01,251.80547652218445,205.30884796936044,298.30210507500846
Сеть,2026-02-01,247.9576044651046,201.46097591228062,294.4542330179286
Сеть,2026-03-01,244.99382653960708,198.49719798678308,291.4904550924311
Сеть,2026-04-01,237.42713156860597,190.930503015782,283.92376012142995
Сеть,2026-05-01,260.21905751967955,213.72242896685555,306.71568607250356
Сеть,2026-06-01,236.98358037923194,190.48695182640796,283.4802089320559
Сеть,2026-07-01,233.07471903731806,186.57809048449406,279.57134759014207
Сеть,2026-08-01,231.36814950499829,184.8715209521743,277.86477805782226
Сеть,2026-09-01,202.32379224874194,155.82716369591793,248.82042080156594
Сеть,2026-10-01,226.36967522861613,179.87304667579212,272.86630378144014
Сеть,2026-11-01,240.30545584541366,193.80882729258968,286.80208439823764
Сеть,2026-12-01,220.24929608806121,173.7526675352372,266.7459246408852
