UNIQUE WEEK,SUMM
2023-01-02,10065
2023-01-09,10125
2023-01-16,7178
2023-01-23,7090
2023-01-30,7218
2023-02-06,8446
2023-02-13,8068
2023-02-20,8543
2023-02-27,8513
2023-03-06,7834
2023-03-13,9998
2023-03-20,10279
2023-03-27,10365
2023-04-03,7876
2023-04-10,9641
2023-04-17,11748
2023-04-24,9283
2023-05-01,9303
2023-05-08,9716
2023-05-15,9190
2023-05-22,11276
2023-05-29,11783
2023-06-05,13799
2023-06-12,13041
2023-06-19,15425
2023-06-26,17212
2023-07-03,14954
2023-07-10,16457
2023-07-17,18153
2023-07-24,17751
2023-07-31,20841
2023-08-07,12653
2023-08-14,15316
2023-08-21,10253
2023-08-28,13649
2023-09-04,10624
2023-09-11,8935
2023-09-18,10733
2023-09-25,8645
2023-10-02,9435
2023-10-09,9961
2023-10-16,9021
2023-10-23,9895