date,sum
2023-01-02,2055
2023-01-09,1464
2023-01-16,2073
2023-01-23,2340
2023-01-30,920
2023-02-06,1367
2023-02-13,1318
2023-02-20,1232
2023-02-27,1359
2023-03-06,758
2023-03-13,1162
2023-03-20,1550
2023-03-27,865
2023-04-03,1577
2023-04-10,1237
2023-04-17,949
2023-04-24,901
2023-05-01,920
2023-05-08,670
2023-05-15,648
2023-05-22,968
2023-05-29,861
2023-06-05,1104
2023-06-12,979
2023-06-19,832
2023-06-26,820
2023-07-03,936
2023-07-10,1016
2023-07-17,590
2023-07-24,434
2023-07-31,656
2023-08-07,778
2023-08-14,1270
2023-08-21,714
2023-08-28,1100
2023-09-04,817
2023-09-11,950
2023-09-18,491
2023-09-25,749
2023-10-02,769
2023-10-09,779
2023-10-16,260
2023-10-23,769